drug_name,generic_name,category,dosage_form,color,shape,indication,manufacturer,strength,text_description,description,drug_name_ar,generic_name_ar,drug_class_ar,dosage_form_ar,color_ar,shape_ar,indications_ar,rx_otc_status_en,side_effects_en,side_effects_ar,contraindications_en,contraindications_ar
Xyzal,Levocetirizine,Antihistamine (2nd Generation),Tablet,White,Oval,Allergic rhinitis; Chronic urticaria,Sanofi,5 mg,xyzal generic levocetirizine form tablet class antihistamine (2nd generation) indication allergic rhinitis; chronic urticaria color white shape oval levocetirizine dihydrochloride 5 mg drowsiness; dry mouth; headache; fatigue severe renal impairment; children <2 years (oral solution) زيزال ليفوسيتيريزين قرص مضاد هيستامين (الجيل الثاني) التهاب الأنف التحسسي؛ الأرتيكاريا المزمنة أبيض بيضاوي نعاس؛ جفاف الفم؛ صداع؛ إرهاق قصور كلوي شديد؛ الأطفال أقل من سنتين (محلول فموي),xyzal generic levocetirizine form tablet class antihistamine (2nd generation) indication allergic rhinitis; chronic urticaria color white shape oval levocetirizine dihydrochloride 5 mg drowsiness; dry mouth; headache; fatigue severe renal impairment; children <2 years (oral solution) زيزال ليفوسيتيريزين قرص مضاد هيستامين (الجيل الثاني) التهاب الأنف التحسسي؛ الأرتيكاريا المزمنة أبيض بيضاوي نعاس؛ جفاف الفم؛ صداع؛ إرهاق قصور كلوي شديد؛ الأطفال أقل من سنتين (محلول فموي),زيزال,ليفوسيتيريزين,مضاد هيستامين (الجيل الثاني),قرص,أبيض,بيضاوي,التهاب الأنف التحسسي؛ الأرتيكاريا المزمنة,OTC,Drowsiness; Dry mouth; Headache; Fatigue,نعاس؛ جفاف الفم؛ صداع؛ إرهاق,Severe renal impairment; Children <2 years (oral solution),قصور كلوي شديد؛ الأطفال أقل من سنتين (محلول فموي)
Flixotide,Fluticasone Propionate,Inhaled Corticosteroid (ICS),Inhaler (MDI),Orange inhaler,Inhaler,Asthma (maintenance/preventive),GSK,250 mcg/puff,flixotide generic fluticasone propionate form inhaler (mdi) class inhaled corticosteroid (ics) indication asthma (maintenance/preventive) color orange inhaler shape inhaler fluticasone propionate 250 mcg/puff oral candidiasis; hoarseness; headache; sore throat acute asthma attack; hypersensitivity to fluticasone فليكسوتايد فلوتيكازون بروبيونات بخاخ (جرعة محددة) كورتيكوستيرويد استنشاقي الربو (صيانة/وقائي) بخاخ برتقالي بخاخ داء المبيضات الفموي؛ بحة الصوت؛ صداع؛ ألم الحلق نوبة ربو حادة؛ فرط الحساسية للفلوتيكازون,flixotide generic fluticasone propionate form inhaler (mdi) class inhaled corticosteroid (ics) indication asthma (maintenance/preventive) color orange inhaler shape inhaler fluticasone propionate 250 mcg/puff oral candidiasis; hoarseness; headache; sore throat acute asthma attack; hypersensitivity to fluticasone فليكسوتايد فلوتيكازون بروبيونات بخاخ (جرعة محددة) كورتيكوستيرويد استنشاقي الربو (صيانة/وقائي) بخاخ برتقالي بخاخ داء المبيضات الفموي؛ بحة الصوت؛ صداع؛ ألم الحلق نوبة ربو حادة؛ فرط الحساسية للفلوتيكازون,فليكسوتايد,فلوتيكازون بروبيونات,كورتيكوستيرويد استنشاقي,بخاخ (جرعة محددة),بخاخ برتقالي,بخاخ,الربو (صيانة/وقائي),Prescription,Oral candidiasis; Hoarseness; Headache; Sore throat,داء المبيضات الفموي؛ بحة الصوت؛ صداع؛ ألم الحلق,Acute asthma attack; Hypersensitivity to fluticasone,نوبة ربو حادة؛ فرط الحساسية للفلوتيكازون
Mucinex,Guaifenesin,Expectorant,Extended-release Tablet,Blue/White,Oval,Productive cough; Chest congestion,Reckitt Benckiser,600 mg,mucinex generic guaifenesin form extended-release tablet class expectorant indication productive cough; chest congestion color blue/white shape oval guaifenesin 600 mg nausea; vomiting; dizziness; headache hypersensitivity to guaifenesin ميوسينيكس غوايفينيسين قرص ممتد المفعول طارد للبلغم السعال المنتج للبلغم؛ احتقان الصدر أزرق/أبيض بيضاوي غثيان؛ قيء؛ دوخة؛ صداع فرط الحساسية للغوايفينيسين,mucinex generic guaifenesin form extended-release tablet class expectorant indication productive cough; chest congestion color blue/white shape oval guaifenesin 600 mg nausea; vomiting; dizziness; headache hypersensitivity to guaifenesin ميوسينيكس غوايفينيسين قرص ممتد المفعول طارد للبلغم السعال المنتج للبلغم؛ احتقان الصدر أزرق/أبيض بيضاوي غثيان؛ قيء؛ دوخة؛ صداع فرط الحساسية للغوايفينيسين,ميوسينيكس,غوايفينيسين,طارد للبلغم,قرص ممتد المفعول,أزرق/أبيض,بيضاوي,السعال المنتج للبلغم؛ احتقان الصدر,OTC,Nausea; Vomiting; Dizziness; Headache,غثيان؛ قيء؛ دوخة؛ صداع,Hypersensitivity to guaifenesin,فرط الحساسية للغوايفينيسين
Chlorpheniramine,Chlorpheniramine,"Antihistamine (Sedating, 1st Generation)",Tablet,Yellow,Round,Allergic rhinitis; Urticaria; Common cold symptoms,Various,4 mg,"chlorpheniramine generic chlorpheniramine form tablet class antihistamine (sedating, 1st generation) indication allergic rhinitis; urticaria; common cold symptoms color yellow shape round chlorpheniramine maleate 4 mg drowsiness; dry mouth; urinary retention; blurred vision; constipation glaucoma; urinary retention; concurrent maois; neonates كلورفينيرامين كلورفينيرامين قرص مضاد هيستامين (مسبب للنعاس، الجيل الأول) التهاب الأنف التحسسي؛ الأرتيكاريا؛ أعراض البرد أصفر دائري نعاس؛ جفاف الفم؛ احتباس البول؛ عدم وضوح الرؤية؛ إمساك الزرق؛ احتباس البول؛ الاستخدام المتزامن لمثبطات MAO؛ حديثو الولادة","chlorpheniramine generic chlorpheniramine form tablet class antihistamine (sedating, 1st generation) indication allergic rhinitis; urticaria; common cold symptoms color yellow shape round chlorpheniramine maleate 4 mg drowsiness; dry mouth; urinary retention; blurred vision; constipation glaucoma; urinary retention; concurrent maois; neonates كلورفينيرامين كلورفينيرامين قرص مضاد هيستامين (مسبب للنعاس، الجيل الأول) التهاب الأنف التحسسي؛ الأرتيكاريا؛ أعراض البرد أصفر دائري نعاس؛ جفاف الفم؛ احتباس البول؛ عدم وضوح الرؤية؛ إمساك الزرق؛ احتباس البول؛ الاستخدام المتزامن لمثبطات MAO؛ حديثو الولادة",كلورفينيرامين,كلورفينيرامين,مضاد هيستامين (مسبب للنعاس، الجيل الأول),قرص,أصفر,دائري,التهاب الأنف التحسسي؛ الأرتيكاريا؛ أعراض البرد,OTC,Drowsiness; Dry mouth; Urinary retention; Blurred vision; Constipation,نعاس؛ جفاف الفم؛ احتباس البول؛ عدم وضوح الرؤية؛ إمساك,Glaucoma; Urinary retention; Concurrent MAOIs; Neonates,الزرق؛ احتباس البول؛ الاستخدام المتزامن لمثبطات MAO؛ حديثو الولادة
Nexium,Esomeprazole,Proton Pump Inhibitor (PPI),Capsule,Purple,Capsule,GERD; Peptic ulcer; H. pylori (combination); Zollinger-Ellison syndrome,AstraZeneca,40 mg,nexium generic esomeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer; h. pylori (combination); zollinger-ellison syndrome color purple shape capsule esomeprazole magnesium 40 mg headache; nausea; diarrhea; abdominal pain; vitamin b12/mg deficiency (long-term) concurrent nelfinavir; hypersensitivity to ppis نيكسيوم إيسوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ متلازمة زولنجر إليسون بنفسجي كبسولة صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12/مغنيسيوم (طويل الأمد) الاستخدام المتزامن مع نلفينافير؛ فرط الحساسية لمثبطات مضخة البروتون,nexium generic esomeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer; h. pylori (combination); zollinger-ellison syndrome color purple shape capsule esomeprazole magnesium 40 mg headache; nausea; diarrhea; abdominal pain; vitamin b12/mg deficiency (long-term) concurrent nelfinavir; hypersensitivity to ppis نيكسيوم إيسوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ متلازمة زولنجر إليسون بنفسجي كبسولة صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12/مغنيسيوم (طويل الأمد) الاستخدام المتزامن مع نلفينافير؛ فرط الحساسية لمثبطات مضخة البروتون,نيكسيوم,إيسوميبرازول,مثبط مضخة البروتون,كبسولة,بنفسجي,كبسولة,ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ متلازمة زولنجر إليسون,Prescription,Headache; Nausea; Diarrhea; Abdominal pain; Vitamin B12/Mg deficiency (long-term),صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12/مغنيسيوم (طويل الأمد),Concurrent nelfinavir; Hypersensitivity to PPIs,الاستخدام المتزامن مع نلفينافير؛ فرط الحساسية لمثبطات مضخة البروتون
Nexium,Esomeprazole,Proton Pump Inhibitor (PPI),Capsule,Light Purple,Capsule,GERD; Peptic ulcer prevention,AstraZeneca,20 mg,nexium generic esomeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer prevention color light purple shape capsule esomeprazole magnesium 20 mg headache; nausea; flatulence; abdominal pain concurrent nelfinavir; ppi allergy نيكسيوم إيسوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ الوقاية من القرحة الهضمية بنفسجي فاتح كبسولة صداع؛ غثيان؛ انتفاخ؛ ألم البطن الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون,nexium generic esomeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer prevention color light purple shape capsule esomeprazole magnesium 20 mg headache; nausea; flatulence; abdominal pain concurrent nelfinavir; ppi allergy نيكسيوم إيسوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ الوقاية من القرحة الهضمية بنفسجي فاتح كبسولة صداع؛ غثيان؛ انتفاخ؛ ألم البطن الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون,نيكسيوم,إيسوميبرازول,مثبط مضخة البروتون,كبسولة,بنفسجي فاتح,كبسولة,ارتجاع المريء؛ الوقاية من القرحة الهضمية,OTC,Headache; Nausea; Flatulence; Abdominal pain,صداع؛ غثيان؛ انتفاخ؛ ألم البطن,Concurrent nelfinavir; PPI allergy,الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون
Losec,Omeprazole,Proton Pump Inhibitor (PPI),Capsule,Pink/Brown,Capsule,GERD; Peptic ulcer; H. pylori (combination); NSAID-induced ulcer,AstraZeneca,20 mg,losec generic omeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer; h. pylori (combination); nsaid-induced ulcer color pink/brown shape capsule omeprazole 20 mg headache; nausea; diarrhea; abdominal pain; vitamin b12 deficiency (long-term) concurrent nelfinavir; ppi allergy لوسيك أوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ قرحة مسببة بالمسكنات وردي/بني كبسولة صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12 (طويل الأمد) الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون,losec generic omeprazole form capsule class proton pump inhibitor (ppi) indication gerd; peptic ulcer; h. pylori (combination); nsaid-induced ulcer color pink/brown shape capsule omeprazole 20 mg headache; nausea; diarrhea; abdominal pain; vitamin b12 deficiency (long-term) concurrent nelfinavir; ppi allergy لوسيك أوميبرازول كبسولة مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ قرحة مسببة بالمسكنات وردي/بني كبسولة صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12 (طويل الأمد) الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون,لوسيك,أوميبرازول,مثبط مضخة البروتون,كبسولة,وردي/بني,كبسولة,ارتجاع المريء؛ القرحة الهضمية؛ الملوية البوابية (مشترك)؛ قرحة مسببة بالمسكنات,OTC,Headache; Nausea; Diarrhea; Abdominal pain; Vitamin B12 deficiency (long-term),صداع؛ غثيان؛ إسهال؛ ألم البطن؛ نقص فيتامين ب12 (طويل الأمد),Concurrent nelfinavir; PPI allergy,الاستخدام المتزامن مع نلفينافير؛ حساسية مثبطات مضخة البروتون
Controloc,Pantoprazole,Proton Pump Inhibitor (PPI),Tablet,Yellow,Oval,GERD; Peptic ulcer; Zollinger-Ellison syndrome,Takeda,40 mg,controloc generic pantoprazole form tablet class proton pump inhibitor (ppi) indication gerd; peptic ulcer; zollinger-ellison syndrome color yellow shape oval pantoprazole sodium 40 mg headache; diarrhea; nausea; abdominal pain; flatulence ppi allergy كونترولوك بانتوبرازول قرص مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون أصفر بيضاوي صداع؛ إسهال؛ غثيان؛ ألم البطن؛ انتفاخ حساسية مثبطات مضخة البروتون,controloc generic pantoprazole form tablet class proton pump inhibitor (ppi) indication gerd; peptic ulcer; zollinger-ellison syndrome color yellow shape oval pantoprazole sodium 40 mg headache; diarrhea; nausea; abdominal pain; flatulence ppi allergy كونترولوك بانتوبرازول قرص مثبط مضخة البروتون ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون أصفر بيضاوي صداع؛ إسهال؛ غثيان؛ ألم البطن؛ انتفاخ حساسية مثبطات مضخة البروتون,كونترولوك,بانتوبرازول,مثبط مضخة البروتون,قرص,أصفر,بيضاوي,ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون,Prescription,Headache; Diarrhea; Nausea; Abdominal pain; Flatulence,صداع؛ إسهال؛ غثيان؛ ألم البطن؛ انتفاخ,PPI allergy,حساسية مثبطات مضخة البروتون
Famotidine,Famotidine,H2 Receptor Antagonist,Tablet,Light Brown,Round,GERD; Peptic ulcer; Zollinger-Ellison syndrome,Various,40 mg,famotidine generic famotidine form tablet class h2 receptor antagonist indication gerd; peptic ulcer; zollinger-ellison syndrome color light brown shape round famotidine 40 mg headache; dizziness; constipation; diarrhea hypersensitivity to famotidine فاموتيدين فاموتيدين قرص حاصر مستقبلات H2 ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون بني فاتح دائري صداع؛ دوخة؛ إمساك؛ إسهال فرط الحساسية للفاموتيدين,famotidine generic famotidine form tablet class h2 receptor antagonist indication gerd; peptic ulcer; zollinger-ellison syndrome color light brown shape round famotidine 40 mg headache; dizziness; constipation; diarrhea hypersensitivity to famotidine فاموتيدين فاموتيدين قرص حاصر مستقبلات H2 ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون بني فاتح دائري صداع؛ دوخة؛ إمساك؛ إسهال فرط الحساسية للفاموتيدين,فاموتيدين,فاموتيدين,حاصر مستقبلات H2,قرص,بني فاتح,دائري,ارتجاع المريء؛ القرحة الهضمية؛ متلازمة زولنجر إليسون,OTC,Headache; Dizziness; Constipation; Diarrhea,صداع؛ دوخة؛ إمساك؛ إسهال,Hypersensitivity to famotidine,فرط الحساسية للفاموتيدين
Motilium,Domperidone,Antiemetic / Prokinetic,Tablet,White,Round,Nausea; Vomiting; Gastroparesis; Functional dyspepsia,Janssen,10 mg,motilium generic domperidone form tablet class antiemetic / prokinetic indication nausea; vomiting; gastroparesis; functional dyspepsia color white shape round domperidone 10 mg dry mouth; headache; diarrhea; qt prolongation (rare) prolactinoma; gi obstruction/perforation/hemorrhage; severe hepatic impairment; concurrent qt-prolonging drugs موتيليوم دومبيريدون قرص مضاد للقيء / محرك للمعدة غثيان؛ قيء؛ خزل المعدة؛ عسر الهضم الوظيفي أبيض دائري جفاف الفم؛ صداع؛ إسهال؛ إطالة QT (نادر) ورم البرولاكتين؛ انسداد/ثقب/نزيف الجهاز الهضمي؛ قصور كبدي شديد؛ الأدوية المطيلة لـ QT,motilium generic domperidone form tablet class antiemetic / prokinetic indication nausea; vomiting; gastroparesis; functional dyspepsia color white shape round domperidone 10 mg dry mouth; headache; diarrhea; qt prolongation (rare) prolactinoma; gi obstruction/perforation/hemorrhage; severe hepatic impairment; concurrent qt-prolonging drugs موتيليوم دومبيريدون قرص مضاد للقيء / محرك للمعدة غثيان؛ قيء؛ خزل المعدة؛ عسر الهضم الوظيفي أبيض دائري جفاف الفم؛ صداع؛ إسهال؛ إطالة QT (نادر) ورم البرولاكتين؛ انسداد/ثقب/نزيف الجهاز الهضمي؛ قصور كبدي شديد؛ الأدوية المطيلة لـ QT,موتيليوم,دومبيريدون,مضاد للقيء / محرك للمعدة,قرص,أبيض,دائري,غثيان؛ قيء؛ خزل المعدة؛ عسر الهضم الوظيفي,Prescription,Dry mouth; Headache; Diarrhea; QT prolongation (rare),جفاف الفم؛ صداع؛ إسهال؛ إطالة QT (نادر),Prolactinoma; GI obstruction/perforation/hemorrhage; Severe hepatic impairment; Concurrent QT-prolonging drugs,ورم البرولاكتين؛ انسداد/ثقب/نزيف الجهاز الهضمي؛ قصور كبدي شديد؛ الأدوية المطيلة لـ QT
Zofran,Ondansetron,5-HT3 Receptor Antagonist (Antiemetic),Tablet,Yellow,Oval,Nausea and vomiting (chemotherapy-induced; post-operative; pregnancy),GSK,4 mg,zofran generic ondansetron form tablet class 5-ht3 receptor antagonist (antiemetic) indication nausea and vomiting (chemotherapy-induced; post-operative; pregnancy) color yellow shape oval ondansetron hcl 4 mg headache; constipation; dizziness; qt prolongation congenital long qt syndrome; concurrent apomorphine; hypersensitivity زوفران أوندانسيترون قرص مضاد مستقبلات 5-HT3 (مضاد للقيء) الغثيان والقيء (المرتبط بالعلاج الكيميائي؛ بعد الجراحة؛ الحمل) أصفر بيضاوي صداع؛ إمساك؛ دوخة؛ إطالة QT متلازمة QT الطويلة الخلقية؛ الاستخدام المتزامن مع أبومورفين؛ فرط الحساسية,zofran generic ondansetron form tablet class 5-ht3 receptor antagonist (antiemetic) indication nausea and vomiting (chemotherapy-induced; post-operative; pregnancy) color yellow shape oval ondansetron hcl 4 mg headache; constipation; dizziness; qt prolongation congenital long qt syndrome; concurrent apomorphine; hypersensitivity زوفران أوندانسيترون قرص مضاد مستقبلات 5-HT3 (مضاد للقيء) الغثيان والقيء (المرتبط بالعلاج الكيميائي؛ بعد الجراحة؛ الحمل) أصفر بيضاوي صداع؛ إمساك؛ دوخة؛ إطالة QT متلازمة QT الطويلة الخلقية؛ الاستخدام المتزامن مع أبومورفين؛ فرط الحساسية,زوفران,أوندانسيترون,مضاد مستقبلات 5-HT3 (مضاد للقيء),قرص,أصفر,بيضاوي,الغثيان والقيء (المرتبط بالعلاج الكيميائي؛ بعد الجراحة؛ الحمل),Prescription,Headache; Constipation; Dizziness; QT prolongation,صداع؛ إمساك؛ دوخة؛ إطالة QT,Congenital long QT syndrome; Concurrent apomorphine; Hypersensitivity,متلازمة QT الطويلة الخلقية؛ الاستخدام المتزامن مع أبومورفين؛ فرط الحساسية
Gaviscon,Sodium Alginate/Sodium Bicarbonate,Antacid / Alginate,Chewable Tablet,White,Round,Heartburn; Acid reflux; GERD symptom relief,Reckitt Benckiser,500/267 mg,gaviscon generic sodium alginate/sodium bicarbonate form chewable tablet class antacid / alginate indication heartburn; acid reflux; gerd symptom relief color white shape round sodium alginate 500 mg / sodium bicarbonate 267 mg bloating; flatulence; nausea (rare) hypersensitivity to ingredients; severe renal impairment (sodium content) غافيسكون ألجينات الصوديوم/بيكربونات الصوديوم قرص قابل للمضغ مضاد حموضة / ألجينات حرقة المعدة؛ ارتجاع الحمض؛ تخفيف أعراض ارتجاع المريء أبيض دائري انتفاخ؛ غازات؛ غثيان (نادر) فرط الحساسية للمكونات؛ قصور كلوي شديد (محتوى الصوديوم),gaviscon generic sodium alginate/sodium bicarbonate form chewable tablet class antacid / alginate indication heartburn; acid reflux; gerd symptom relief color white shape round sodium alginate 500 mg / sodium bicarbonate 267 mg bloating; flatulence; nausea (rare) hypersensitivity to ingredients; severe renal impairment (sodium content) غافيسكون ألجينات الصوديوم/بيكربونات الصوديوم قرص قابل للمضغ مضاد حموضة / ألجينات حرقة المعدة؛ ارتجاع الحمض؛ تخفيف أعراض ارتجاع المريء أبيض دائري انتفاخ؛ غازات؛ غثيان (نادر) فرط الحساسية للمكونات؛ قصور كلوي شديد (محتوى الصوديوم),غافيسكون,ألجينات الصوديوم/بيكربونات الصوديوم,مضاد حموضة / ألجينات,قرص قابل للمضغ,أبيض,دائري,حرقة المعدة؛ ارتجاع الحمض؛ تخفيف أعراض ارتجاع المريء,OTC,Bloating; Flatulence; Nausea (rare),انتفاخ؛ غازات؛ غثيان (نادر),Hypersensitivity to ingredients; Severe renal impairment (sodium content),فرط الحساسية للمكونات؛ قصور كلوي شديد (محتوى الصوديوم)
Duphalac,Lactulose,Osmotic Laxative,Syrup,Yellow liquid,Bottle,Constipation; Hepatic encephalopathy,Abbott,3.35 g/5 mL,duphalac generic lactulose form syrup class osmotic laxative indication constipation; hepatic encephalopathy color yellow liquid shape bottle lactulose 3.35 g/5 ml flatulence; abdominal cramps; diarrhea; nausea galactosemia; intestinal obstruction دوفالاك لاكتولوز شراب ملين تناضحي الإمساك؛ الاعتلال الدماغي الكبدي سائل أصفر زجاجة انتفاخ؛ تقلصات بطنية؛ إسهال؛ غثيان الغالاكتوزيميا؛ انسداد معوي,duphalac generic lactulose form syrup class osmotic laxative indication constipation; hepatic encephalopathy color yellow liquid shape bottle lactulose 3.35 g/5 ml flatulence; abdominal cramps; diarrhea; nausea galactosemia; intestinal obstruction دوفالاك لاكتولوز شراب ملين تناضحي الإمساك؛ الاعتلال الدماغي الكبدي سائل أصفر زجاجة انتفاخ؛ تقلصات بطنية؛ إسهال؛ غثيان الغالاكتوزيميا؛ انسداد معوي,دوفالاك,لاكتولوز,ملين تناضحي,شراب,سائل أصفر,زجاجة,الإمساك؛ الاعتلال الدماغي الكبدي,OTC,Flatulence; Abdominal cramps; Diarrhea; Nausea,انتفاخ؛ تقلصات بطنية؛ إسهال؛ غثيان,Galactosemia; Intestinal obstruction,الغالاكتوزيميا؛ انسداد معوي
Imodium,Loperamide,Antidiarrheal (Opioid Receptor Agonist),Capsule,Green/Grey,Capsule,Acute diarrhea; Chronic diarrhea,Janssen,2 mg,imodium generic loperamide form capsule class antidiarrheal (opioid receptor agonist) indication acute diarrhea; chronic diarrhea color green/grey shape capsule loperamide hcl 2 mg constipation; abdominal cramps; dizziness; nausea children <2 years; dysentery; acute ulcerative colitis; c. difficile colitis إيموديوم لوبيراميد كبسولة مضاد للإسهال (ناهض مستقبلات أفيونية) الإسهال الحاد؛ الإسهال المزمن أخضر/رمادي كبسولة إمساك؛ تقلصات بطنية؛ دوخة؛ غثيان الأطفال أقل من سنتين؛ الزحار؛ التهاب القولون التقرحي الحاد؛ التهاب القولون بالمطثية العسيرة,imodium generic loperamide form capsule class antidiarrheal (opioid receptor agonist) indication acute diarrhea; chronic diarrhea color green/grey shape capsule loperamide hcl 2 mg constipation; abdominal cramps; dizziness; nausea children <2 years; dysentery; acute ulcerative colitis; c. difficile colitis إيموديوم لوبيراميد كبسولة مضاد للإسهال (ناهض مستقبلات أفيونية) الإسهال الحاد؛ الإسهال المزمن أخضر/رمادي كبسولة إمساك؛ تقلصات بطنية؛ دوخة؛ غثيان الأطفال أقل من سنتين؛ الزحار؛ التهاب القولون التقرحي الحاد؛ التهاب القولون بالمطثية العسيرة,إيموديوم,لوبيراميد,مضاد للإسهال (ناهض مستقبلات أفيونية),كبسولة,أخضر/رمادي,كبسولة,الإسهال الحاد؛ الإسهال المزمن,OTC,Constipation; Abdominal cramps; Dizziness; Nausea,إمساك؛ تقلصات بطنية؛ دوخة؛ غثيان,Children <2 years; Dysentery; Acute ulcerative colitis; C. difficile colitis,الأطفال أقل من سنتين؛ الزحار؛ التهاب القولون التقرحي الحاد؛ التهاب القولون بالمطثية العسيرة
ORS (Oral Rehydration Salts),Electrolyte Mixture,Electrolyte Replacement,Powder for Solution,White powder,Sachet,Dehydration from diarrhea; Vomiting; Heat exhaustion,Various,WHO formula,ors (oral rehydration salts) generic electrolyte mixture form powder for solution class electrolyte replacement indication dehydration from diarrhea; vomiting; heat exhaustion color white powder shape sachet nacl + kcl + sodium citrate + glucose nausea; vomiting (if taken too fast); hypernatremia (incorrect preparation) ileus; intestinal obstruction; severe vomiting أملاح الإماهة الفموية مزيج الشوارد مسحوق للحل بديل شوارد الجفاف الناتج عن الإسهال؛ القيء؛ الإنهاك الحراري مسحوق أبيض كيس غثيان؛ قيء (إذا أخذ بسرعة)؛ فرط الصوديوم (تحضير غير صحيح) العلوص؛ انسداد معوي؛ قيء شديد,ors (oral rehydration salts) generic electrolyte mixture form powder for solution class electrolyte replacement indication dehydration from diarrhea; vomiting; heat exhaustion color white powder shape sachet nacl + kcl + sodium citrate + glucose nausea; vomiting (if taken too fast); hypernatremia (incorrect preparation) ileus; intestinal obstruction; severe vomiting أملاح الإماهة الفموية مزيج الشوارد مسحوق للحل بديل شوارد الجفاف الناتج عن الإسهال؛ القيء؛ الإنهاك الحراري مسحوق أبيض كيس غثيان؛ قيء (إذا أخذ بسرعة)؛ فرط الصوديوم (تحضير غير صحيح) العلوص؛ انسداد معوي؛ قيء شديد,أملاح الإماهة الفموية,مزيج الشوارد,بديل شوارد,مسحوق للحل,مسحوق أبيض,كيس,الجفاف الناتج عن الإسهال؛ القيء؛ الإنهاك الحراري,OTC,Nausea; Vomiting (if taken too fast); Hypernatremia (incorrect preparation),غثيان؛ قيء (إذا أخذ بسرعة)؛ فرط الصوديوم (تحضير غير صحيح),Ileus; Intestinal obstruction; Severe vomiting,العلوص؛ انسداد معوي؛ قيء شديد
Maalox,Aluminium Hydroxide/Magnesium Hydroxide,Antacid,Chewable Tablet,White,Round,Heartburn; Acid indigestion; Gastric hyperacidity,Sanofi,200/200 mg,maalox generic aluminium hydroxide/magnesium hydroxide form chewable tablet class antacid indication heartburn; acid indigestion; gastric hyperacidity color white shape round al(oh)3 200 mg / mg(oh)2 200 mg constipation (al); diarrhea (mg); nausea severe renal impairment; hypophosphatemia مالوكس هيدروكسيد الألمنيوم/هيدروكسيد المغنيسيوم قرص قابل للمضغ مضاد حموضة حرقة المعدة؛ عسر الهضم الحمضي؛ فرط حموضة المعدة أبيض دائري إمساك (ألمنيوم)؛ إسهال (مغنيسيوم)؛ غثيان قصور كلوي شديد؛ نقص الفوسفات,maalox generic aluminium hydroxide/magnesium hydroxide form chewable tablet class antacid indication heartburn; acid indigestion; gastric hyperacidity color white shape round al(oh)3 200 mg / mg(oh)2 200 mg constipation (al); diarrhea (mg); nausea severe renal impairment; hypophosphatemia مالوكس هيدروكسيد الألمنيوم/هيدروكسيد المغنيسيوم قرص قابل للمضغ مضاد حموضة حرقة المعدة؛ عسر الهضم الحمضي؛ فرط حموضة المعدة أبيض دائري إمساك (ألمنيوم)؛ إسهال (مغنيسيوم)؛ غثيان قصور كلوي شديد؛ نقص الفوسفات,مالوكس,هيدروكسيد الألمنيوم/هيدروكسيد المغنيسيوم,مضاد حموضة,قرص قابل للمضغ,أبيض,دائري,حرقة المعدة؛ عسر الهضم الحمضي؛ فرط حموضة المعدة,OTC,Constipation (Al); Diarrhea (Mg); Nausea,إمساك (ألمنيوم)؛ إسهال (مغنيسيوم)؛ غثيان,Severe renal impairment; Hypophosphatemia,قصور كلوي شديد؛ نقص الفوسفات
